Cankiri,Afghanistan,1399
Cankiri,Iran,481
Cankiri,Iraq,5472
Cankiri,Somalia,94
Cankiri,Othernationalities,184
Cankiri,Nonsyriantotal,7630
Cankiri,Syrian,270
Cankiri,Grand Total,7900
Corum,LocalPopulation,527220
Corum,Afghanistan,110
Corum,Iran,194
Corum,Iraq,7220
Corum,Somalia,0
Corum,Othernationalities,30
Corum,Nonsyriantotal,7554
Corum,Syrian,1309
Corum,Grand Total,8863
Denizli,LocalPopulation,978700
Denizli,Afghanistan,2224
Denizli,Iran,3820
Denizli,Iraq,403
Denizli,Somalia,1
Denizli,Othernationalities,66
Denizli,Nonsyriantotal,6514
Denizli,Syrian,6339
Denizli,Grand Total,12853
Diyarbakir,LocalPopulation,1635048
Diyarbakir,Afghanistan,0
Diyarbakir,Iran,0
Diyarbakir,Iraq,3964
Diyarbakir,Somalia,0
Diyarbakir,Othernationalities,0
Diyarbakir,Nonsyriantotal,3964
Diyarbakir,Syrian,28825
Diyarbakir,Grand Total,32789
Ducze,LocalPopulation,355549
Ducze,Afghanistan,363
Ducze,Iran,165
Ducze,Iraq,2513
Ducze,Somalia,1
Ducze,Othernationalities,46
Ducze,Nonsyriantotal,3088
Ducze,Syrian,449
Ducze,Grand Total,3537
Edirne,LocalPopulation,400280
Edirne,Afghanistan,58
Edirne,Iran,14
Edirne,Iraq,9
Edirne,Somalia,0
Edirne,Othernationalities,10
Edirne,Nonsyriantotal,91
Edirne,Syrian,6492
Edirne,Grand Total,6583
Elazig,LocalPopulation,568753
Elazig,Afghanistan,1223
Elazig,Iran,127
Elazig,Iraq,347
Elazig,Somalia,6
Elazig,Othernationalities,16
Elazig,Nonsyriantotal,1719
Elazig,Syrian,4622
Elazig,Grand Total,6341
Erzincan,LocalPopulation,223633
Erzincan,Afghanistan,2819
Erzincan,Iran,72
Erzincan,Iraq,163
Erzincan,Somalia,0
Erzincan,Othernationalities,17
Erzincan,Nonsyriantotal,3071
Erzincan,Syrian,167
Erzincan,Grand Total,3238
Erzurum,LocalPopulation,763320
Erzurum,Afghanistan,1536
Erzurum,Iran,94
Erzurum,Iraq,17
Erzurum,Somalia,0
Erzurum,Othernationalities,19
Erzurum,Nonsyriantotal,1666
Erzurum,Syrian,435
Erzurum,Grand Total,2101
Eskisehir,LocalPopulation,812320
Eskisehir,Afghanistan,507
Eskisehir,Iran,1052
Eskisehir,Iraq,4140
Eskisehir,Somalia,130
Eskisehir,Othernationalities,227
Eskisehir,Nonsyriantotal,6056
Eskisehir,Syrian,1718
Eskisehir,Grand Total,7774
Gaziantep,LocalPopulation,1889466
Gaziantep,Afghanistan,414
Gaziantep,Iran,50
Gaziantep,Iraq,583
Gaziantep,Somalia,0
Gaziantep,Othernationalities,265
Gaziantep,Nonsyriantotal,1312
Gaziantep,Syrian,321157
Gaziantep,Grand Total,322469
Giresun,LocalPopulation,429984
Giresun,Afghanistan,2738
Giresun,Iran,66
Giresun,Iraq,470
Giresun,Somalia,0
Giresun,Othernationalities,12
Giresun,Nonsyriantotal,3286
Giresun,Syrian,135
Giresun,Grand Total,3421
Gumushane,LocalPopulation,146353
Gumushane,Afghanistan,1750
Gumushane,Iran,49
Gumushane,Iraq,213
Gumushane,Somalia,7
Gumushane,Othernationalities,30
Gumushane,Nonsyriantotal,2049
Gumushane,Syrian,59
Gumushane,Grand Total,2108
Hakkari,LocalPopulation,276287
Hakkari,Afghanistan,11
Hakkari,Iran,0
Hakkari,Iraq,7
Hakkari,Somalia,0
Hakkari,Othernationalities,0
Hakkari,Nonsyriantotal,18
Hakkari,Syrian,921
Hakkari,Grand Total,939
Hatay,LocalPopulation,1519836
Hatay,Afghanistan,28
Hatay,Iran,0
Hatay,Iraq,19
Hatay,Somalia,1
Hatay,Othernationalities,40
Hatay,Nonsyriantotal,88
Hatay,Syrian,379126
Hatay,Grand Total,379214
Igdir,LocalPopulation,192056
Igdir,Afghanistan,43
Igdir,Iran,5
Igdir,Iraq,8
Igdir,Somalia,0
Igdir,Othernationalities,1
Igdir,Nonsyriantotal,57
Igdir,Syrian,80
Igdir,Grand Total,137
Isparta,LocalPopulation,418780
Isparta,Afghanistan,1400
Isparta,Iran,796
Isparta,Iraq,1562
Isparta,Somalia,1140
Isparta,Othernationalities,439
Isparta,Nonsyriantotal,5337
Isparta,Syrian,6115
Isparta,Grand Total,11452
